name,node_accuracy,orbit_accuracy,graph_accuracy
max_orbit_gcn_alchemy_6_orbit_sorting_cross_entropy_3,0.434 +- 0.015,0.410 +- 0.011,0.000 +- 0.000
max_orbit_gcn_alchemy_6_orbit_sorting_cross_entropy_3,0.435 +- 0.007,0.409 +- 0.019,0.000 +- 0.000
max_orbit_gcn_alchemy_6_orbit_sorting_cross_entropy_3,0.430 +- 0.033,0.402 +- 0.039,0.000 +- 0.000

max_orbit_gcn_alchemy_6_orbit_sorting_cross_entropy_3,0.167 +- 0.012,0.011 +- 0.016,0.000 +- 0.000
max_orbit_gcn_alchemy_7_orbit_sorting_cross_entropy_3,0.185 +- 0.037,0.042 +- 0.059,0.000 +- 0.000
max_orbit_gcn_alchemy_8_orbit_sorting_cross_entropy_3,0.184 +- 0.036,0.041 +- 0.058,0.000 +- 0.000
max_orbit_gcn_alchemy_9_orbit_sorting_cross_entropy_3,0.170 +- 0.017,0.017 +- 0.024,0.000 +- 0.000
max_orbit_gcn_alchemy_3_orbit_sorting_cross_entropy_3_10,0.374 +- 0.050,0.364 +- 0.101,0.000 +- 0.000
max_orbit_gcn_alchemy_10_orbit_sorting_cross_entropy_3_100,0.432 +- 0.007,0.424 +- 0.009,0.000 +- 0.000
max_orbit_gcn_alchemy_3_orbit_sorting_cross_entropy_3_100,0.544 +- 0.007,0.536 +- 0.011,0.000 +- 0.000
max_orbit_gcn_alchemy_6_orbit_sorting_cross_entropy_3_100,0.512 +- 0.023,0.496 +- 0.050,0.000 +- 0.000
max_orbit_gcn_alchemy_9_orbit_sorting_cross_entropy_3_100,0.441 +- 0.013,0.443 +- 0.017,0.000 +- 0.000
max_orbit_gcn_alchemy_4_orbit_sorting_cross_entropy_3_100,0.533 +- 0.024,0.519 +- 0.033,0.000 +- 0.000
max_orbit_gcn_alchemy_3_orbit_sorting_cross_entropy_3_100,0.546 +- 0.007,0.539 +- 0.011,0.000 +- 0.000


max_orbit_gcn_alchemy_2_orbit_sorting_cross_entropy_10_100,0.581 +- 0.006,0.5845 +- 0.013,0.000 +- 0.000
max_orbit_gcn_alchemy_3_orbit_sorting_cross_entropy_10_100,0.551 +- 0.008,0.538 +- 0.013,0.000 +- 0.000
max_orbit_gcn_alchemy_4_orbit_sorting_cross_entropy_10_100,0.541 +- 0.016,0.531 +- 0.023,0.000 +- 0.000
max_orbit_gcn_alchemy_5_orbit_sorting_cross_entropy_10_100,0.541 +- 0.014,0.525 +- 0.023,0.000 +- 0.000
max_orbit_gcn_alchemy_6_orbit_sorting_cross_entropy_10_100,0.533 +- 0.018,0.524 +- 0.037,0.000 +- 0.000
max_orbit_gcn_alchemy_9_orbit_sorting_cross_entropy_10_100,0.452 +- 0.023,0.456 +- 0.035,0.000 +- 0.000
max_orbit_gcn_alchemy_9_orbit_sorting_cross_entropy_3_100,0.439 +- 0.014,0.441 +- 0.020,0.000 +- 0.000
max_orbit_gcn_alchemy_10_orbit_sorting_cross_entropy_10_100,0.435 +- 0.008,0.435 +- 0.013,0.000 +- 0.000

gcn_alchemy_10_orbit_sorting_cross_entropy_3_100,0.499 +- 0.005,0.681 +- 0.001,0.000 +- 0.000
gcn_alchemy_9_orbit_sorting_cross_entropy_3_100,0.474 +- 0.001,0.682 +- 0.000,0.000 +- 0.000
gcn_alchemy_9_orbit_sorting_cross_entropy_3_100,0.497 +- 0.004,0.681 +- 0.001,0.000 +- 0.000
gcn_alchemy_7_orbit_sorting_cross_entropy_3_100,0.498 +- 0.005,0.681 +- 0.001,0.000 +- 0.000
gcn_alchemy_6_orbit_sorting_cross_entropy_3_100,0.501 +- 0.005,0.681 +- 0.001,0.000 +- 0.000
gcn_alchemy_5_orbit_sorting_cross_entropy_3_100,0.496 +- 0.004,0.681 +- 0.001,0.000 +- 0.000
gcn_alchemy_4_orbit_sorting_cross_entropy_3_100,0.500 +- 0.002,0.680 +- 0.002,0.000 +- 0.000
gcn_alchemy_3_orbit_sorting_cross_entropy_3_100,0.496 +- 0.003,0.681 +- 0.001,0.000 +- 0.000
gcn_alchemy_2_orbit_sorting_cross_entropy_3_100,0.500 +- 0.004,0.681 +- 0.001,0.000 +- 0.000
gcn_alchemy_10_orbit_sorting_cross_entropy_3_100,0.493 +- 0.003,0.682 +- 0.000,0.000 +- 0.000
gcn_alchemy_9_orbit_sorting_cross_entropy_3_100,0.493 +- 0.004,0.682 +- 0.000,0.000 +- 0.000
gcn_alchemy_7_orbit_sorting_cross_entropy_3_100,0.495 +- 0.001,0.682 +- 0.000,0.000 +- 0.000
gcn_alchemy_8_orbit_sorting_cross_entropy_3_100,0.493 +- 0.003,0.682 +- 0.000,0.000 +- 0.000
gcn_alchemy_8_orbit_sorting_cross_entropy_3_100,0.493 +- 0.003,0.682 +- 0.000,0.000 +- 0.000
gcn_alchemy_9_orbit_sorting_cross_entropy_3_100,0.495 +- 0.002,0.682 +- 0.000,0.000 +- 0.000
gcn_alchemy_7_orbit_sorting_cross_entropy_3_100,0.495 +- 0.002,0.682 +- 0.000,0.000 +- 0.000
gcn_alchemy_3_orbit_sorting_cross_entropy_3_100,0.495 +- 0.001,0.682 +- 0.000,0.000 +- 0.000
gcn_alchemy_6_orbit_sorting_cross_entropy_3_100,0.495 +- 0.001,0.682 +- 0.000,0.000 +- 0.000
gcn_alchemy_5_orbit_sorting_cross_entropy_3_100,0.495 +- 0.001,0.682 +- 0.000,0.000 +- 0.000
